2025-05-17 03:36:43,526 - INFO - ================================================================================
2025-05-17 03:36:43,527 - INFO - Activation Checkpointing Algorithm Starting
2025-05-17 03:36:43,527 - INFO - Log file: logs\activation_checkpointing_20250517_033643.log
2025-05-17 03:36:44,171 - INFO - Loaded node stats with 18493 rows
2025-05-17 03:36:44,171 - INFO - Loaded activation stats with 775 rows
2025-05-17 03:36:44,171 - INFO - Memory budget set to 8.0 GB (8589934592.0 bytes)
2025-05-17 03:36:44,171 - INFO - Algorithm initialization time: 0.64s
2025-05-17 03:36:44,181 - INFO - Starting checkpoint decision algorithm...
2025-05-17 03:36:44,181 - INFO - Fixed overhead: 0.3 GB, Memory budget: 8.00 GB
2025-05-17 03:36:44,181 - INFO - Initializing schedule with all activations checkpointed...
2025-05-17 03:36:44,181 - INFO - Initial schedule has 620 activations marked for RETAINED
2025-05-17 03:36:44,197 - INFO - Built activation mappings with 775 activations
2025-05-17 03:36:44,197 - INFO - Initialized simulation cache with 18493 nodes, 3631 forward nodes, 14860 backward nodes
2025-05-17 03:36:44,233 - INFO - Initial peak memory: 11.68 GB
2025-05-17 03:36:44,233 - INFO - Initial execution time: 1.43s
2025-05-17 03:36:44,243 - INFO - Incompressible memory with checkpointing: 0.49 GB
2025-05-17 03:36:44,243 - INFO - Largest single activation: 0.19 GB
2025-05-17 03:36:44,243 - INFO - Active memory - FW: 11.35 GB, BW: 11.38 GB
2025-05-17 03:36:44,243 - INFO - Fixed overhead: 0.30 GB
2025-05-17 03:36:44,243 - INFO - Memory budget of 8.00 GB should be achievable
2025-05-17 03:36:44,243 - INFO - Filtering valid activations...
2025-05-17 03:36:44,244 - INFO - Found 775 valid activations for consideration
2025-05-17 03:36:44,280 - INFO - Max recompute ratio candidate: relu__9, ratio: 1023994897.9846042
2025-05-17 03:36:44,315 - INFO - Max recompute ratio candidate: convolution_10, ratio: 1023994897.9846042
2025-05-17 03:36:44,350 - INFO - Max recompute ratio candidate: convolution_7, ratio: 1023994897.9846042
2025-05-17 03:36:44,386 - INFO - Max recompute ratio candidate: convolution, ratio: 1023994897.9846042
2025-05-17 03:36:44,422 - INFO - Max recompute ratio candidate: convolution_3, ratio: 1023994897.9846042
2025-05-17 03:36:44,456 - INFO - Max recompute ratio candidate: relu__3, ratio: 1023994897.9846042
2025-05-17 03:36:44,491 - INFO - Max recompute ratio candidate: relu_, ratio: 1023994897.9846042
2025-05-17 03:36:44,526 - INFO - Max recompute ratio candidate: relu__6, ratio: 1023994897.9846042
2025-05-17 03:36:44,561 - INFO - Max recompute ratio candidate: convolution_4, ratio: 1023994897.9846042
2025-05-17 03:36:44,596 - INFO - Max recompute ratio candidate: convolution_29, ratio: 1023989796.0200492
2025-05-17 03:36:44,630 - INFO - Max recompute ratio candidate: convolution_35, ratio: 1023989796.0200492
2025-05-17 03:36:44,667 - INFO - Max recompute ratio candidate: relu__24, ratio: 1023989796.0200492
2025-05-17 03:36:44,702 - INFO - Max recompute ratio candidate: relu__12, ratio: 1023989796.0200492
2025-05-17 03:36:44,737 - INFO - Max recompute ratio candidate: convolution_17, ratio: 1023989796.0200492
2025-05-17 03:36:44,771 - INFO - Max recompute ratio candidate: convolution_11, ratio: 1023989796.0200492
2025-05-17 03:36:44,805 - INFO - Max recompute ratio candidate: relu__10, ratio: 1023989796.0200492
2025-05-17 03:36:44,840 - INFO - Max recompute ratio candidate: convolution_13, ratio: 1023989796.0200492
2025-05-17 03:36:44,875 - INFO - Max recompute ratio candidate: convolution_32, ratio: 1023989796.0200492
2025-05-17 03:36:44,911 - INFO - Max recompute ratio candidate: convolution_26, ratio: 1023989796.0200492
2025-05-17 03:36:44,945 - INFO - Max recompute ratio candidate: relu__21, ratio: 1023989796.0200492
2025-05-17 03:36:44,979 - INFO - Max recompute ratio candidate: relu__15, ratio: 1023989796.0200492
2025-05-17 03:36:45,012 - INFO - Max recompute ratio candidate: relu__18, ratio: 1023989796.0200492
2025-05-17 03:36:45,046 - INFO - Max recompute ratio candidate: convolution_23, ratio: 1023989796.0200492
2025-05-17 03:36:45,078 - INFO - Max recompute ratio candidate: convolution_14, ratio: 1023989796.0200492
2025-05-17 03:36:45,111 - INFO - Max recompute ratio candidate: relu__30, ratio: 1023989796.0200492
2025-05-17 03:36:45,143 - INFO - Max recompute ratio candidate: convolution_20, ratio: 1023989796.0200492
2025-05-17 03:36:45,178 - INFO - Max recompute ratio candidate: getitem_5, ratio: 1023989796.0200492
2025-05-17 03:36:45,214 - INFO - Max recompute ratio candidate: relu__33, ratio: 1023989796.0200492
2025-05-17 03:36:45,247 - INFO - Max recompute ratio candidate: relu__27, ratio: 1023989796.0200492
2025-05-17 03:36:45,283 - INFO - Max recompute ratio candidate: relu__126, ratio: 1023979592.2434582
2025-05-17 03:36:45,316 - INFO - Max recompute ratio candidate: convolution_36, ratio: 1023979592.2434582
2025-05-17 03:36:45,348 - INFO - Max recompute ratio candidate: relu__69, ratio: 1023979592.2434582
2025-05-17 03:36:45,382 - INFO - Max recompute ratio candidate: convolution_48, ratio: 1023979592.2434582
2025-05-17 03:36:45,415 - INFO - Max recompute ratio candidate: relu__141, ratio: 1023979592.2434582
2025-05-17 03:36:45,447 - INFO - Max recompute ratio candidate: convolution_96, ratio: 1023979592.2434582
2025-05-17 03:36:45,480 - INFO - Max recompute ratio candidate: relu__54, ratio: 1023979592.2434582
2025-05-17 03:36:45,514 - INFO - Max recompute ratio candidate: convolution_99, ratio: 1023979592.2434582
2025-05-17 03:36:45,546 - INFO - Max recompute ratio candidate: relu__84, ratio: 1023979592.2434582
2025-05-17 03:36:45,578 - INFO - Max recompute ratio candidate: convolution_102, ratio: 1023979592.2434582
2025-05-17 03:36:45,611 - INFO - Max recompute ratio candidate: relu__51, ratio: 1023979592.2434582
2025-05-17 03:36:45,643 - INFO - Max recompute ratio candidate: convolution_45, ratio: 1023979592.2434582
2025-05-17 03:36:45,676 - INFO - Max recompute ratio candidate: convolution_63, ratio: 1023979592.2434582
2025-05-17 03:36:45,708 - INFO - Max recompute ratio candidate: relu__90, ratio: 1023979592.2434582
2025-05-17 03:36:45,742 - INFO - Max recompute ratio candidate: convolution_57, ratio: 1023979592.2434582
2025-05-17 03:36:45,775 - INFO - Max recompute ratio candidate: convolution_138, ratio: 1023979592.2434582
2025-05-17 03:36:45,807 - INFO - Max recompute ratio candidate: convolution_69, ratio: 1023979592.2434582
2025-05-17 03:36:45,839 - INFO - Max recompute ratio candidate: convolution_132, ratio: 1023979592.2434582
2025-05-17 03:36:45,871 - INFO - Max recompute ratio candidate: convolution_51, ratio: 1023979592.2434582
2025-05-17 03:36:45,903 - INFO - Max recompute ratio candidate: relu__114, ratio: 1023979592.2434582
2025-05-17 03:36:45,936 - INFO - Max recompute ratio candidate: relu__66, ratio: 1023979592.2434582
2025-05-17 03:36:45,969 - INFO - Max recompute ratio candidate: relu__108, ratio: 1023979592.2434582
2025-05-17 03:36:46,003 - INFO - Max recompute ratio candidate: convolution_141, ratio: 1023979592.2434582
2025-05-17 03:36:46,035 - INFO - Max recompute ratio candidate: convolution_87, ratio: 1023979592.2434582
2025-05-17 03:36:46,068 - INFO - Max recompute ratio candidate: convolution_42, ratio: 1023979592.2434582
2025-05-17 03:36:46,101 - INFO - Max recompute ratio candidate: convolution_108, ratio: 1023979592.2434582
2025-05-17 03:36:46,134 - INFO - Max recompute ratio candidate: convolution_2, ratio: 1023979592.2434582
2025-05-17 03:36:46,166 - INFO - Max recompute ratio candidate: relu__5, ratio: 1023979592.2434582
2025-05-17 03:36:46,197 - INFO - Max recompute ratio candidate: relu__81, ratio: 1023979592.2434582
2025-05-17 03:36:46,228 - INFO - Max recompute ratio candidate: relu__99, ratio: 1023979592.2434582
2025-05-17 03:36:46,261 - INFO - Max recompute ratio candidate: relu__8, ratio: 1023979592.2434582
2025-05-17 03:36:46,292 - INFO - Max recompute ratio candidate: relu__1, ratio: 1023979592.2434582
2025-05-17 03:36:46,324 - INFO - Max recompute ratio candidate: relu__105, ratio: 1023979592.2434582
2025-05-17 03:36:46,356 - INFO - Max recompute ratio candidate: relu__75, ratio: 1023979592.2434582
2025-05-17 03:36:46,388 - INFO - Max recompute ratio candidate: convolution_135, ratio: 1023979592.2434582
2025-05-17 03:36:46,422 - INFO - Max recompute ratio candidate: relu__102, ratio: 1023979592.2434582
2025-05-17 03:36:46,453 - INFO - Max recompute ratio candidate: relu__129, ratio: 1023979592.2434582
2025-05-17 03:36:46,486 - INFO - Max recompute ratio candidate: convolution_72, ratio: 1023979592.2434582
2025-05-17 03:36:46,519 - INFO - Max recompute ratio candidate: relu__4, ratio: 1023979592.2434582
2025-05-17 03:36:46,552 - INFO - Max recompute ratio candidate: convolution_39, ratio: 1023979592.2434582
2025-05-17 03:36:46,584 - INFO - Max recompute ratio candidate: convolution_84, ratio: 1023979592.2434582
2025-05-17 03:36:46,616 - INFO - Max recompute ratio candidate: getitem_4, ratio: 1023979592.2434582
2025-05-17 03:36:46,648 - INFO - Max recompute ratio candidate: convolution_126, ratio: 1023979592.2434582
2025-05-17 03:36:46,680 - INFO - Max recompute ratio candidate: convolution_111, ratio: 1023979592.2434582
2025-05-17 03:36:46,714 - INFO - Max recompute ratio candidate: convolution_90, ratio: 1023979592.2434582
2025-05-17 03:36:46,746 - INFO - Max recompute ratio candidate: convolution_8, ratio: 1023979592.2434582
