rank,node_name,node_type,gtype,median_run_time_s,median_peak_mem_bytes
0,arg0_1,other,forward,2.3552000522613525e-05,8632832
1,arg0_2,other,forward,1.945599913597107e-05,8632832
2,arg0_3,other,forward,1.849599927663803e-05,8632832
3,arg0_4,other,forward,1.8303999677300454e-05,8632832
4,arg0_5,other,forward,1.8335999920964242e-05,8632832
5,arg0_6,other,forward,1.8432000651955604e-05,8632832
6,arg3_1,other,forward,1.9231999292969705e-05,8632832
7,arg3_2,other,forward,1.7696000635623933e-05,8632832
8,arg3_3,other,forward,1.8592000007629396e-05,8632832
9,t,other,forward,3.359999880194664e-05,8632832
10,addmm,other,forward,7.164800167083741e-05,9697792
11,relu,activation,forward,4.5152001082897183e-05,8665600
12,t_1,activation,forward,2.969600073993206e-05,8649216
13,addmm_1,other,forward,6.169600039720535e-05,9714176
14,relu_1,activation,forward,3.993599861860275e-05,8681984
15,t_2,activation,forward,2.8575999662280082e-05,8665600
16,addmm_2,other,forward,4.915200173854828e-05,9715712
17,sum_1,other,forward,4.812800139188767e-05,8667648
18,sep,other,forward,2.969600073993206e-05,8666112
19,view,other,intermediate/other,3.7663999944925305e-05,8666112
20,ones_like,other,intermediate/other,5.632000043988228e-05,8666624
21,sep_backward,other,backward,2.8384000062942505e-05,8666112
22,expand,other,backward,3.686400130391121e-05,8666112
23,t_3,other,backward,2.8672000393271447e-05,8666112
24,mm,other,backward,7.391999661922455e-05,8684032
25,t_4,other,backward,2.873600088059902e-05,8682496
26,mm_1,other,backward,6.524799764156342e-05,8689152
27,t_5,other,backward,2.7712000533938408e-05,8687616
28,sum_2,other,backward,5.119999870657921e-05,8688128
29,view_1,other,backward,3.2767999917268756e-05,8687616
30,t_6,other,backward,2.768000029027462e-05,8687616
31,threshold_backward,other,backward,5.119999870657921e-05,8704000
32,t_7,other,backward,2.764800004661083e-05,8671232
33,mm_2,other,backward,5.539200082421303e-05,8687616
34,t_8,other,backward,3.58400009572506e-05,8687616
35,mm_3,other,backward,4.8255998641252515e-05,8753152
36,t_9,other,backward,2.6847999542951584e-05,8753152
37,sum_3,other,backward,5.2064001560211184e-05,8753664
38,view_2,other,backward,3.3567998558282853e-05,8737280
39,t_10,other,backward,2.8543999418616294e-05,8737280
40,threshold_backward_1,other,backward,4.403200000524521e-05,8753664
41,t_11,other,backward,2.8416000306606293e-05,8720896
42,mm_4,other,backward,5.427199974656105e-05,8753664
43,t_12,other,backward,2.969600073993206e-05,8753664
44,sum_4,other,backward,5.622399970889091e-05,8754176
45,view_3,other,backward,3.193600103259086e-05,8737792
46,t_13,other,backward,2.8384000062942505e-05,8737792
47,add_,other,backward,4.5056000351905825e-05,8737792
48,add__1,other,backward,4.6080000698566435e-05,8705024
49,add__2,other,backward,3.801599889993668e-05,8704512
50,add__3,other,backward,3.993599861860275e-05,8638976
51,add__4,other,backward,4.403200000524521e-05,8638464
52,add__5,other,backward,3.87520007789135e-05,8633344
53,output,other,backward,2.6720000430941583e-05,8632832
