activation_name,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,avg_mem_size_bytes,inactive_time_s,avg_swap_time_s,recomp_time_s,recomp_memory_bytes,recompute_ratio
convolution,2336,2338,4926,4926,51380224,0.7553034891262679,0.0,0.00854220812022686,51380224,inf
getitem_1,2340,-1,4926,4926,256,0.0,0.0,0.0,256,0.0
getitem_2,2341,-1,4926,4926,256,0.0,0.0,0.0,256,0.0
getitem_3,2342,-1,4926,4926,0,0.0,0.0,0.0,0,0.0
relu_,2343,2344,4924,4925,51380224,0.7419105931147958,0.0,0.006632447957992553,51380224,inf
getitem_4,2345,2370,4897,4920,12845056,0.7107112330570838,0.0,0.014024768054485322,12845056,inf
getitem_5,2346,-1,4924,4924,25690112,0.0,0.0,0.0,25690112,0.0
convolution_1,2347,2349,4916,4916,12845056,0.7388867211453644,0.0,0.0011397119611501693,12845056,inf
getitem_7,2351,-1,4916,4916,256,0.0,0.0,0.0,256,0.0
getitem_8,2352,-1,4916,4916,256,0.0,0.0,0.0,256,0.0
getitem_9,2353,-1,4916,4916,0,0.0,0.0,0.0,0,0.0
relu__1,2354,2355,4912,4915,12845056,0.734005249138924,0.0,0.0015912959799170494,12845056,inf
convolution_2,2355,2357,4908,4908,12845056,0.7331849611364329,0.0,0.001732607990503311,12845056,inf
getitem_11,2359,-1,4908,4908,256,0.0,0.0,0.0,256,0.0
getitem_12,2360,-1,4908,4908,256,0.0,0.0,0.0,256,0.0
getitem_13,2361,-1,4908,4908,0,0.0,0.0,0.0,0,0.0
relu__2,2362,2363,4904,4907,12845056,0.7277147531472171,0.0,0.002102272041141987,12845056,inf
convolution_3,2363,2365,4900,4900,51380224,0.7166453130096219,0.0,0.007128064081072807,51380224,inf
getitem_15,2367,-1,4900,4900,1024,0.0,0.0,0.0,1024,0.0
getitem_16,2368,-1,4900,4900,1024,0.0,0.0,0.0,1024,0.0
getitem_17,2369,-1,4900,4900,0,0.0,0.0,0.0,0,0.0
convolution_4,2370,2372,4893,4893,51380224,0.6995250570327066,0.0,0.007887871891260147,51380224,inf
getitem_19,2374,-1,4893,4893,1024,0.0,0.0,0.0,1024,0.0
getitem_20,2375,-1,4893,4893,1024,0.0,0.0,0.0,1024,0.0
getitem_21,2376,-1,4893,4893,0,0.0,0.0,0.0,0,0.0
relu__3,2378,2402,4888,4892,51380224,0.6566931845732054,0.0,0.023231488123536106,51380224,inf
convolution_5,2379,2381,4884,4884,12845056,0.6738185606263594,0.0,0.00161894404143095,12845056,inf
getitem_23,2383,-1,4884,4884,256,0.0,0.0,0.0,256,0.0
getitem_24,2384,-1,4884,4884,256,0.0,0.0,0.0,256,0.0
getitem_25,2385,-1,4884,4884,0,0.0,0.0,0.0,0,0.0
relu__4,2386,2387,4880,4883,12845056,0.668769216615708,0.0,0.0016384000033140183,12845056,inf
convolution_6,2387,2389,4876,4876,12845056,0.6678128005974007,0.0,0.0017817600071430204,12845056,inf
getitem_27,2391,-1,4876,4876,256,0.0,0.0,0.0,256,0.0
getitem_28,2392,-1,4876,4876,256,0.0,0.0,0.0,256,0.0
getitem_29,2393,-1,4876,4876,0,0.0,0.0,0.0,0,0.0
relu__5,2394,2395,4872,4875,12845056,0.6622770565971746,0.0,0.0021063679829239844,12845056,inf
convolution_7,2395,2397,4868,4868,51380224,0.6510519686862842,0.0,0.006889472126960754,51380224,inf
getitem_31,2399,-1,4868,4868,1024,0.0,0.0,0.0,1024,0.0
getitem_32,2400,-1,4868,4868,1024,0.0,0.0,0.0,1024,0.0
getitem_33,2401,-1,4868,4868,0,0.0,0.0,0.0,0,0.0
relu__6,2403,2427,4863,4867,51380224,0.6087659204676762,0.0,0.022893536463379858,51380224,inf
convolution_8,2404,2406,4859,4859,12845056,0.625755072869362,0.0,0.0014929919838905334,12845056,inf
getitem_35,2408,-1,4859,4859,256,0.0,0.0,0.0,256,0.0
getitem_36,2409,-1,4859,4859,256,0.0,0.0,0.0,256,0.0
getitem_37,2410,-1,4859,4859,0,0.0,0.0,0.0,0,0.0
relu__7,2411,2412,4855,4858,12845056,0.62066172880307,0.0,0.0016506880223751067,12845056,inf
convolution_9,2412,2414,4851,4851,12845056,0.6198517447710052,0.0,0.0016967680193483827,12845056,inf
getitem_39,2416,-1,4851,4851,256,0.0,0.0,0.0,256,0.0
getitem_40,2417,-1,4851,4851,256,0.0,0.0,0.0,256,0.0
getitem_41,2418,-1,4851,4851,0,0.0,0.0,0.0,0,0.0
relu__8,2419,2420,4847,4850,12845056,0.6145515208318846,0.0,0.0020817920342087745,12845056,inf
convolution_10,2420,2422,4843,4843,51380224,0.6031646408513202,0.0,0.007088128089904785,51380224,inf
getitem_43,2424,-1,4843,4843,1024,0.0,0.0,0.0,1024,0.0
getitem_44,2425,-1,4843,4843,1024,0.0,0.0,0.0,1024,0.0
getitem_45,2426,-1,4843,4843,0,0.0,0.0,0.0,0,0.0
relu__9,2428,2452,4815,4842,51380224,0.5519113606102771,0.0,0.016686111565679316,51380224,inf
convolution_11,2429,2431,4834,4834,25690112,0.5743113924488437,0.0,0.0033617919683456418,25690112,inf
getitem_47,2433,-1,4834,4834,512,0.0,0.0,0.0,512,0.0
getitem_48,2434,-1,4834,4834,512,0.0,0.0,0.0,512,0.0
getitem_49,2435,-1,4834,4834,0,0.0,0.0,0.0,0,0.0
relu__10,2436,2437,4830,4833,25690112,0.5665863363742837,0.0,0.0023531518876552583,25690112,inf
convolution_12,2437,2439,4826,4826,6422528,0.5659750083833941,0.0,0.002370559886097908,6422528,inf
getitem_51,2441,-1,4826,4826,512,0.0,0.0,0.0,512,0.0
getitem_52,2442,-1,4826,4826,512,0.0,0.0,0.0,512,0.0
getitem_53,2443,-1,4826,4826,0,0.0,0.0,0.0,0,0.0
relu__11,2444,2445,4822,4825,6422528,0.5644041603840896,0.0,0.0006983679719269275,6422528,inf
convolution_13,2445,2447,4818,4818,25690112,0.5615912323854872,0.0,0.0017223679572343827,25690112,inf
getitem_55,2449,-1,4818,4818,2048,0.0,0.0,0.0,2048,0.0
getitem_56,2450,-1,4818,4818,2048,0.0,0.0,0.0,2048,0.0
getitem_57,2451,-1,4818,4818,0,0.0,0.0,0.0,0,0.0
convolution_14,2452,2454,4811,4811,25690112,0.5493441925719387,0.0,0.005847039852291346,25690112,inf
getitem_59,2456,-1,4811,4811,2048,0.0,0.0,0.0,2048,0.0
getitem_60,2457,-1,4811,4811,2048,0.0,0.0,0.0,2048,0.0
getitem_61,2458,-1,4811,4811,0,0.0,0.0,0.0,0,0.0
relu__12,2460,2484,4806,4810,25690112,0.5333288646265868,0.0,0.008373215932399033,25690112,inf
convolution_15,2461,2463,4802,4802,6422528,0.5402756805382676,0.0,0.0008345279991626739,6422528,inf
getitem_63,2465,-1,4802,4802,512,0.0,0.0,0.0,512,0.0
getitem_64,2466,-1,4802,4802,512,0.0,0.0,0.0,512,0.0
getitem_65,2467,-1,4802,4802,0,0.0,0.0,0.0,0,0.0
relu__13,2468,2469,4798,4801,6422528,0.5367592645473785,0.0,0.0013813759610056878,6422528,inf
convolution_16,2469,2471,4794,4794,6422528,0.5358038725592202,0.0,0.0017981439530849457,6422528,inf
getitem_67,2473,-1,4794,4794,512,0.0,0.0,0.0,512,0.0
getitem_68,2474,-1,4794,4794,512,0.0,0.0,0.0,512,0.0
getitem_69,2475,-1,4794,4794,0,0.0,0.0,0.0,0,0.0
relu__14,2476,2477,4790,4793,6422528,0.5338285765796907,0.0,0.0008171519935131073,6422528,inf
convolution_17,2477,2479,4786,4786,25690112,0.5305190085582441,0.0,0.002385919988155365,25690112,inf
getitem_71,2481,-1,4786,4786,2048,0.0,0.0,0.0,2048,0.0
getitem_72,2482,-1,4786,4786,2048,0.0,0.0,0.0,2048,0.0
getitem_73,2483,-1,4786,4786,0,0.0,0.0,0.0,0,0.0
relu__15,2485,2509,4781,4785,25690112,0.5151497925817969,0.0,0.0079421440474689,25690112,inf
convolution_18,2486,2488,4777,4777,6422528,0.5217064646296209,0.0,0.000838655985891819,6422528,inf
getitem_75,2490,-1,4777,4777,512,0.0,0.0,0.0,512,0.0
getitem_76,2491,-1,4777,4777,512,0.0,0.0,0.0,512,0.0
getitem_77,2492,-1,4777,4777,0,0.0,0.0,0.0,0,0.0
relu__16,2493,2494,4773,4776,6422528,0.5182566086463634,0.0,0.001416192002594471,6422528,inf
convolution_19,2494,2496,4769,4769,6422528,0.5175561926476661,0.0,0.0015493120104074479,6422528,inf
getitem_79,2498,-1,4769,4769,512,0.0,0.0,0.0,512,0.0
getitem_80,2499,-1,4769,4769,512,0.0,0.0,0.0,512,0.0
getitem_81,2500,-1,4769,4769,0,0.0,0.0,0.0,0,0.0
relu__17,2501,2502,4765,4768,6422528,0.5157129926867787,0.0,0.0007587839886546134,6422528,inf
convolution_20,2502,2504,4761,4761,25690112,0.5123348166421059,0.0,0.0022978560253977777,25690112,inf
getitem_83,2506,-1,4761,4761,2048,0.0,0.0,0.0,2048,0.0
getitem_84,2507,-1,4761,4761,2048,0.0,0.0,0.0,2048,0.0
getitem_85,2508,-1,4761,4761,0,0.0,0.0,0.0,0,0.0
relu__18,2510,2534,4756,4760,25690112,0.49746224067919026,0.0,0.007485439850017428,25690112,inf
convolution_21,2511,2513,4752,4752,6422528,0.5037137605082246,0.0,0.0007669760063290595,6422528,inf
getitem_87,2515,-1,4752,4752,512,0.0,0.0,0.0,512,0.0
getitem_88,2516,-1,4752,4752,512,0.0,0.0,0.0,512,0.0
getitem_89,2517,-1,4752,4752,0,0.0,0.0,0.0,0,0.0
relu__19,2518,2519,4748,4751,6422528,0.5004666565191004,0.0,0.001372159991413355,6422528,inf
convolution_22,2519,2521,4744,4744,6422528,0.4998266565110539,0.0,0.001492991991341114,6422528,inf
