activation_name,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,avg_mem_size_bytes,inactive_time_s,avg_swap_time_s,recomp_time_s,recomp_memory_bytes,recompute_ratio
convolution,2336,2338,4926,4926,205520896,0.729222080195322,0.0,0.200704,205520896,200704.0
getitem_1,2340,-1,4926,4926,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_2,2341,-1,4926,4926,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_3,2342,-1,4926,4926,0,0.0,0.0,1e-06,0,0.1
relu_,2343,2344,4924,4925,205520896,0.723215328132733,0.0,0.200704,205520896,200704.0
getitem_4,2345,2370,4897,4920,51380224,0.7019560001213099,0.0,0.050176,51380224,50176.0
getitem_5,2346,-1,4924,4924,102760448,0.0,0.0,0.100352,102760448,100352.0
convolution_1,2347,2349,4916,4916,51380224,0.7202273921482257,0.0,0.050176,51380224,50176.0
getitem_7,2351,-1,4916,4916,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_8,2352,-1,4916,4916,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_9,2353,-1,4916,4916,0,0.0,0.0,1e-06,0,0.1
relu__1,2354,2355,4912,4915,51380224,0.7149457921348507,0.0,0.050176,51380224,50176.0
convolution_2,2355,2357,4908,4908,51380224,0.713558528138324,0.0,0.050176,51380224,50176.0
getitem_11,2359,-1,4908,4908,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_12,2360,-1,4908,4908,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_13,2361,-1,4908,4908,0,0.0,0.0,1e-06,0,0.1
relu__2,2362,2363,4904,4907,51380224,0.7100156161934132,0.0,0.050176,51380224,50176.0
convolution_3,2363,2365,4900,4900,205520896,0.70499667212367,0.0,0.200704,205520896,200704.0
getitem_15,2367,-1,4900,4900,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_16,2368,-1,4900,4900,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_17,2369,-1,4900,4900,0,0.0,0.0,1e-06,0,0.1
convolution_4,2370,2372,4893,4893,205520896,0.6967998402751975,0.0,0.200704,205520896,200704.0
getitem_19,2374,-1,4893,4893,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_20,2375,-1,4893,4893,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_21,2376,-1,4893,4893,0,0.0,0.0,1e-06,0,0.1
relu__3,2378,2402,4888,4892,205520896,0.6786881601456544,0.0,0.200704,205520896,200704.0
convolution_5,2379,2381,4884,4884,51380224,0.6865741121321908,0.0,0.050176,51380224,50176.0
getitem_23,2383,-1,4884,4884,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_24,2384,-1,4884,4884,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_25,2385,-1,4884,4884,0,0.0,0.0,1e-06,0,0.1
relu__4,2386,2387,4880,4883,51380224,0.6813377280794076,0.0,0.050176,51380224,50176.0
convolution_6,2387,2389,4876,4876,51380224,0.6799510080851607,0.0,0.050176,51380224,50176.0
getitem_27,2391,-1,4876,4876,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_28,2392,-1,4876,4876,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_29,2393,-1,4876,4876,0,0.0,0.0,1e-06,0,0.1
relu__5,2394,2395,4872,4875,51380224,0.6764699841327958,0.0,0.050176,51380224,50176.0
convolution_7,2395,2397,4868,4868,205520896,0.6714873919840892,0.0,0.200704,205520896,200704.0
getitem_31,2399,-1,4868,4868,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_32,2400,-1,4868,4868,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_33,2401,-1,4868,4868,0,0.0,0.0,1e-06,0,0.1
relu__6,2403,2427,4863,4867,205520896,0.6532574723120769,0.0,0.200704,205520896,200704.0
convolution_8,2404,2406,4859,4859,51380224,0.6613592001609493,0.0,0.050176,51380224,50176.0
getitem_35,2408,-1,4859,4859,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_36,2409,-1,4859,4859,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_37,2410,-1,4859,4859,0,0.0,0.0,1e-06,0,0.1
relu__7,2411,2412,4855,4858,51380224,0.6560998720973719,0.0,0.050176,51380224,50176.0
convolution_9,2412,2414,4851,4851,51380224,0.6547429760918011,0.0,0.050176,51380224,50176.0
getitem_39,2416,-1,4851,4851,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_40,2417,-1,4851,4851,256,0.0,0.0,1e-06,256,0.1002197265625
getitem_41,2418,-1,4851,4851,0,0.0,0.0,1e-06,0,0.1
relu__8,2419,2420,4847,4850,51380224,0.6511654081661242,0.0,0.050176,51380224,50176.0
convolution_10,2420,2422,4843,4843,205520896,0.6460936963707196,0.0,0.200704,205520896,200704.0
getitem_43,2424,-1,4843,4843,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_44,2425,-1,4843,4843,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_45,2426,-1,4843,4843,0,0.0,0.0,1e-06,0,0.1
relu__9,2428,2452,4815,4842,205520896,0.6141520005352791,0.0,0.200704,205520896,200704.0
convolution_11,2429,2431,4834,4834,102760448,0.6337408323865372,0.0,0.100352,102760448,100352.0
