activation_name,decision,memory_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
convolution,CHECKPOINT,12845056,0.012544,2336,4926
getitem_1,CHECKPOINT,256,1e-06,2340,4926
getitem_2,CHECKPOINT,256,1e-06,2341,4926
relu_,CHECKPOINT,12845056,0.012544,2343,4924
getitem_4,RECOMPUTE,3211264,0.003136,2345,4897
getitem_5,CHECKPOINT,6422528,0.006272,2346,4924
convolution_1,CHECKPOINT,3211264,0.003136,2347,4916
getitem_7,CHECKPOINT,256,1e-06,2351,4916
getitem_8,CHECKPOINT,256,1e-06,2352,4916
relu__1,RECOMPUTE,3211264,0.003136,2354,4912
convolution_2,CHECKPOINT,3211264,0.003136,2355,4908
getitem_11,CHECKPOINT,256,1e-06,2359,4908
getitem_12,CHECKPOINT,256,1e-06,2360,4908
relu__2,CHECKPOINT,3211264,0.003136,2362,4904
convolution_3,RECOMPUTE,12845056,0.012544,2363,4900
getitem_15,CHECKPOINT,1024,1e-06,2367,4900
getitem_16,CHECKPOINT,1024,1e-06,2368,4900
convolution_4,CHECKPOINT,12845056,0.012544,2370,4893
getitem_19,CHECKPOINT,1024,1e-06,2374,4893
getitem_20,CHECKPOINT,1024,1e-06,2375,4893
relu__3,CHECKPOINT,12845056,0.012544,2378,4888
convolution_5,CHECKPOINT,3211264,0.003136,2379,4884
getitem_23,CHECKPOINT,256,1e-06,2383,4884
getitem_24,CHECKPOINT,256,1e-06,2384,4884
relu__4,CHECKPOINT,3211264,0.003136,2386,4880
convolution_6,CHECKPOINT,3211264,0.003136,2387,4876
getitem_27,CHECKPOINT,256,1e-06,2391,4876
getitem_28,CHECKPOINT,256,1e-06,2392,4876
relu__5,RECOMPUTE,3211264,0.003136,2394,4872
convolution_7,CHECKPOINT,12845056,0.012544,2395,4868
getitem_31,CHECKPOINT,1024,1e-06,2399,4868
getitem_32,CHECKPOINT,1024,1e-06,2400,4868
relu__6,CHECKPOINT,12845056,0.012544,2403,4863
convolution_8,CHECKPOINT,3211264,0.003136,2404,4859
getitem_35,CHECKPOINT,256,1e-06,2408,4859
getitem_36,CHECKPOINT,256,1e-06,2409,4859
relu__7,CHECKPOINT,3211264,0.003136,2411,4855
convolution_9,CHECKPOINT,3211264,0.003136,2412,4851
getitem_39,CHECKPOINT,256,1e-06,2416,4851
getitem_40,CHECKPOINT,256,1e-06,2417,4851
relu__8,CHECKPOINT,3211264,0.003136,2419,4847
convolution_10,RECOMPUTE,12845056,0.012544,2420,4843
getitem_43,CHECKPOINT,1024,1e-06,2424,4843
getitem_44,CHECKPOINT,1024,1e-06,2425,4843
relu__9,RECOMPUTE,12845056,0.012544,2428,4815
convolution_11,CHECKPOINT,6422528,0.006272,2429,4834
getitem_47,CHECKPOINT,512,1e-06,2433,4834
getitem_48,CHECKPOINT,512,1e-06,2434,4834
relu__10,CHECKPOINT,6422528,0.006272,2436,4830
convolution_12,CHECKPOINT,1605632,0.001568,2437,4826
getitem_51,CHECKPOINT,512,1e-06,2441,4826
getitem_52,CHECKPOINT,512,1e-06,2442,4826
relu__11,CHECKPOINT,1605632,0.001568,2444,4822
convolution_13,RECOMPUTE,6422528,0.006272,2445,4818
getitem_55,CHECKPOINT,2048,2e-06,2449,4818
getitem_56,CHECKPOINT,2048,2e-06,2450,4818
convolution_14,CHECKPOINT,6422528,0.006272,2452,4811
getitem_59,CHECKPOINT,2048,2e-06,2456,4811
getitem_60,CHECKPOINT,2048,2e-06,2457,4811
relu__12,RECOMPUTE,6422528,0.006272,2460,4806
convolution_15,CHECKPOINT,1605632,0.001568,2461,4802
getitem_63,CHECKPOINT,512,1e-06,2465,4802
getitem_64,CHECKPOINT,512,1e-06,2466,4802
relu__13,CHECKPOINT,1605632,0.001568,2468,4798
convolution_16,CHECKPOINT,1605632,0.001568,2469,4794
getitem_67,CHECKPOINT,512,1e-06,2473,4794
getitem_68,CHECKPOINT,512,1e-06,2474,4794
relu__14,CHECKPOINT,1605632,0.001568,2476,4790
convolution_17,RECOMPUTE,6422528,0.006272,2477,4786
getitem_71,CHECKPOINT,2048,2e-06,2481,4786
getitem_72,CHECKPOINT,2048,2e-06,2482,4786
relu__15,RECOMPUTE,6422528,0.006272,2485,4781
convolution_18,CHECKPOINT,1605632,0.001568,2486,4777
getitem_75,CHECKPOINT,512,1e-06,2490,4777
getitem_76,CHECKPOINT,512,1e-06,2491,4777
relu__16,RECOMPUTE,1605632,0.001568,2493,4773
