activation_name,decision,median_mem_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
getitem,RECOMPUTE,67108864,0.065536,318,1393
getitem_1,RECOMPUTE,16777216,0.016384,319,1409
getitem_3,RECOMPUTE,131072,0.000128,322,1393
getitem_4,RECOMPUTE,131072,0.000128,323,1394
t,RECOMPUTE,3145728,0.003072,325,1387
_unsafe_view,RECOMPUTE,67108864,0.065536,327,1385
transpose_4,RECOMPUTE,67108864,0.065536,344,1353
mul_1,RECOMPUTE,67108864,0.065536,345,1357
transpose_5,RECOMPUTE,67108864,0.065536,346,1359
_softmax,RECOMPUTE,134217728,0.131072,348,1356
getitem_5,RECOMPUTE,134217728,0.131072,350,1351
getitem_6,RECOMPUTE,33554432,0.032768,351,1355
view_4,RECOMPUTE,67108864,0.065536,355,1344
t_1,RECOMPUTE,1048576,0.001024,356,1341
getitem_8,RECOMPUTE,16777216,0.016384,362,1337
add_2,RECOMPUTE,67108864,0.065536,363,1321
getitem_10,RECOMPUTE,131072,0.000128,366,1321
getitem_11,RECOMPUTE,131072,0.000128,367,1322
view_7,RECOMPUTE,67108864,0.065536,368,1315
t_2,RECOMPUTE,4194304,0.004096,369,1312
relu,RECOMPUTE,268435456,0.262144,372,1310
getitem_13,RECOMPUTE,67108864,0.065536,375,1309
view_9,RECOMPUTE,268435456,0.262144,376,1303
t_3,RECOMPUTE,4194304,0.004096,377,1300
getitem_15,RECOMPUTE,16777216,0.016384,382,1298
add_3,RECOMPUTE,67108864,0.065536,383,1282
getitem_17,RECOMPUTE,131072,0.000128,386,1282
getitem_18,RECOMPUTE,131072,0.000128,387,1283
t_4,RECOMPUTE,3145728,0.003072,389,1276
_unsafe_view_2,RECOMPUTE,67108864,0.065536,391,1274
transpose_12,RECOMPUTE,67108864,0.065536,408,1242
mul_2,RECOMPUTE,67108864,0.065536,409,1246
transpose_13,RECOMPUTE,67108864,0.065536,410,1248
_softmax_1,RECOMPUTE,134217728,0.131072,412,1245
getitem_19,RECOMPUTE,134217728,0.131072,414,1240
getitem_20,RECOMPUTE,33554432,0.032768,415,1244
view_15,RECOMPUTE,67108864,0.065536,419,1233
t_5,RECOMPUTE,1048576,0.001024,420,1230
getitem_22,RECOMPUTE,16777216,0.016384,426,1226
add_5,RECOMPUTE,67108864,0.065536,427,1210
getitem_24,RECOMPUTE,131072,0.000128,430,1210
getitem_25,RECOMPUTE,131072,0.000128,431,1211
view_18,RECOMPUTE,67108864,0.065536,432,1204
t_6,RECOMPUTE,4194304,0.004096,433,1201
relu_1,RECOMPUTE,268435456,0.262144,436,1199
getitem_27,RECOMPUTE,67108864,0.065536,439,1198
view_20,RECOMPUTE,268435456,0.262144,440,1192
t_7,RECOMPUTE,4194304,0.004096,441,1189
getitem_29,RECOMPUTE,16777216,0.016384,446,1187
add_6,RECOMPUTE,67108864,0.065536,447,1171
getitem_31,RECOMPUTE,131072,0.000128,450,1171
getitem_32,RECOMPUTE,131072,0.000128,451,1172
t_8,RECOMPUTE,3145728,0.003072,453,1165
_unsafe_view_4,RECOMPUTE,67108864,0.065536,455,1163
transpose_20,RECOMPUTE,67108864,0.065536,472,1131
mul_3,RECOMPUTE,67108864,0.065536,473,1135
transpose_21,RECOMPUTE,67108864,0.065536,474,1137
_softmax_2,RECOMPUTE,134217728,0.131072,476,1134
getitem_33,RECOMPUTE,134217728,0.131072,478,1129
getitem_34,RECOMPUTE,33554432,0.032768,479,1133
view_26,RECOMPUTE,67108864,0.065536,483,1122
t_9,RECOMPUTE,1048576,0.001024,484,1119
getitem_36,RECOMPUTE,16777216,0.016384,490,1115
add_8,RECOMPUTE,67108864,0.065536,491,1099
getitem_38,RECOMPUTE,131072,0.000128,494,1099
getitem_39,RECOMPUTE,131072,0.000128,495,1100
view_29,RECOMPUTE,67108864,0.065536,496,1093
t_10,RECOMPUTE,4194304,0.004096,497,1090
relu_2,RECOMPUTE,268435456,0.262144,500,1088
getitem_41,RECOMPUTE,67108864,0.065536,503,1087
view_31,RECOMPUTE,268435456,0.262144,504,1081
t_11,RECOMPUTE,4194304,0.004096,505,1078
getitem_43,RECOMPUTE,16777216,0.016384,510,1076
add_9,RECOMPUTE,67108864,0.065536,511,1060
getitem_45,RECOMPUTE,131072,0.000128,514,1060
getitem_46,RECOMPUTE,131072,0.000128,515,1061
t_12,RECOMPUTE,3145728,0.003072,517,1054
_unsafe_view_6,RECOMPUTE,67108864,0.065536,519,1052
transpose_28,RECOMPUTE,67108864,0.065536,536,1020
mul_4,RECOMPUTE,67108864,0.065536,537,1024
transpose_29,RECOMPUTE,67108864,0.065536,538,1026
_softmax_3,RECOMPUTE,134217728,0.131072,540,1023
