activation_name,node_type,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes
convolution,activation,2336,2338,4926,4926,12845056,0.27441766380704796,0.012544,12845056
getitem_1,activation,2340,-1,4926,4926,256,0.0,1e-06,256
getitem_2,activation,2341,-1,4926,4926,256,0.0,1e-06,256
getitem_3,activation,2342,-1,4926,4926,0,0.0,1e-06,0
relu_,activation,2343,2344,4924,4925,12845056,0.27161497589759387,0.012544,12845056
getitem_4,activation,2345,2370,4897,4920,3211264,0.263710719991474,0.003136,3211264
getitem_5,activation,2346,-1,4924,4924,6422528,0.0,0.006272,6422528
convolution_1,activation,2347,2349,4916,4916,3211264,0.27003596790134765,0.003136,3211264
getitem_7,activation,2351,-1,4916,4916,256,0.0,1e-06,256
getitem_8,activation,2352,-1,4916,4916,256,0.0,1e-06,256
getitem_9,activation,2353,-1,4916,4916,0,0.0,1e-06,0
relu__1,activation,2354,2355,4912,4915,3211264,0.2679388159364448,0.003136,3211264
convolution_2,activation,2355,2357,4908,4908,3211264,0.26726707195117927,0.003136,3211264
getitem_11,activation,2359,-1,4908,4908,256,0.0,1e-06,256
getitem_12,activation,2360,-1,4908,4908,256,0.0,1e-06,256
getitem_13,activation,2361,-1,4908,4908,0,0.0,1e-06,0
relu__2,activation,2362,2363,4904,4907,3211264,0.26615193598344783,0.003136,3211264
convolution_3,activation,2363,2365,4900,4900,12845056,0.2648555519562201,0.012544,12845056
getitem_15,activation,2367,-1,4900,4900,1024,0.0,1e-06,1024
getitem_16,activation,2368,-1,4900,4900,1024,0.0,1e-06,1024
getitem_17,activation,2369,-1,4900,4900,0,0.0,1e-06,0
convolution_4,activation,2370,2372,4893,4893,12845056,0.26151321593671895,0.012544,12845056
getitem_19,activation,2374,-1,4893,4893,1024,0.0,1e-06,1024
getitem_20,activation,2375,-1,4893,4893,1024,0.0,1e-06,1024
getitem_21,activation,2376,-1,4893,4893,0,0.0,1e-06,0
relu__3,activation,2378,2402,4888,4892,12845056,0.2567423999793814,0.012544,12845056
convolution_5,activation,2379,2381,4884,4884,3211264,0.2575196159481989,0.003136,3211264
getitem_23,activation,2383,-1,4884,4884,256,0.0,1e-06,256
getitem_24,activation,2384,-1,4884,4884,256,0.0,1e-06,256
getitem_25,activation,2385,-1,4884,4884,0,0.0,1e-06,0
relu__4,activation,2386,2387,4880,4883,3211264,0.2560491519402699,0.003136,3211264
convolution_6,activation,2387,2389,4876,4876,3211264,0.25536921593174194,0.003136,3211264
getitem_27,activation,2391,-1,4876,4876,256,0.0,1e-06,256
getitem_28,activation,2392,-1,4876,4876,256,0.0,1e-06,256
getitem_29,activation,2393,-1,4876,4876,0,0.0,1e-06,0
relu__5,activation,2394,2395,4872,4875,3211264,0.2541598719116286,0.003136,3211264
convolution_7,activation,2395,2397,4868,4868,12845056,0.25227263991162036,0.012544,12845056
getitem_31,activation,2399,-1,4868,4868,1024,0.0,1e-06,1024
getitem_32,activation,2400,-1,4868,4868,1024,0.0,1e-06,1024
getitem_33,activation,2401,-1,4868,4868,0,0.0,1e-06,0
relu__6,activation,2403,2427,4863,4867,12845056,0.24772607992030543,0.012544,12845056
convolution_8,activation,2404,2406,4859,4859,3211264,0.24841318389586972,0.003136,3211264
getitem_35,activation,2408,-1,4859,4859,256,0.0,1e-06,256
getitem_36,activation,2409,-1,4859,4859,256,0.0,1e-06,256
getitem_37,activation,2410,-1,4859,4859,0,0.0,1e-06,0
relu__7,activation,2411,2412,4855,4858,3211264,0.24704204788245127,0.003136,3211264
convolution_9,activation,2412,2414,4851,4851,3211264,0.24634982389025253,0.003136,3211264
getitem_39,activation,2416,-1,4851,4851,256,0.0,1e-06,256
getitem_40,activation,2417,-1,4851,4851,256,0.0,1e-06,256
getitem_41,activation,2418,-1,4851,4851,0,0.0,1e-06,0
relu__8,activation,2419,2420,4847,4850,3211264,0.24518246389552817,0.003136,3211264
convolution_10,activation,2420,2422,4843,4843,12845056,0.24326963187381487,0.012544,12845056
getitem_43,activation,2424,-1,4843,4843,1024,0.0,1e-06,1024
getitem_44,activation,2425,-1,4843,4843,1024,0.0,1e-06,1024
getitem_45,activation,2426,-1,4843,4843,0,0.0,1e-06,0
relu__9,activation,2428,2452,4815,4842,12845056,0.231989247879012,0.012544,12845056
convolution_11,activation,2429,2431,4834,4834,6422528,0.23951257584616406,0.006272,6422528
getitem_47,activation,2433,-1,4834,4834,512,0.0,1e-06,512
getitem_48,activation,2434,-1,4834,4834,512,0.0,1e-06,512
getitem_49,activation,2435,-1,4834,4834,0,0.0,1e-06,0
relu__10,activation,2436,2437,4830,4833,6422528,0.2371327998954789,0.006272,6422528
convolution_12,activation,2437,2439,4826,4826,1605632,0.23666995190642637,0.001568,1605632
getitem_51,activation,2441,-1,4826,4826,512,0.0,1e-06,512
getitem_52,activation,2442,-1,4826,4826,512,0.0,1e-06,512
getitem_53,activation,2443,-1,4826,4826,0,0.0,1e-06,0
relu__11,activation,2444,2445,4822,4825,1605632,0.23578316790610412,0.001568,1605632
convolution_13,activation,2445,2447,4818,4818,6422528,0.23485747187584496,0.006272,6422528
getitem_55,activation,2449,-1,4818,4818,2048,0.0,2e-06,2048
getitem_56,activation,2450,-1,4818,4818,2048,0.0,2e-06,2048
getitem_57,activation,2451,-1,4818,4818,0,0.0,1e-06,0
convolution_14,activation,2452,2454,4811,4811,6422528,0.23101030386797944,0.006272,6422528
getitem_59,activation,2456,-1,4811,4811,2048,0.0,2e-06,2048
getitem_60,activation,2457,-1,4811,4811,2048,0.0,2e-06,2048
getitem_61,activation,2458,-1,4811,4811,0,0.0,1e-06,0
relu__12,activation,2460,2484,4806,4810,6422528,0.2284083198979483,0.006272,6422528
convolution_15,activation,2461,2463,4802,4802,1605632,0.22941593587212125,0.001568,1605632
getitem_63,activation,2465,-1,4802,4802,512,0.0,1e-06,512
getitem_64,activation,2466,-1,4802,4802,512,0.0,1e-06,512
getitem_65,activation,2467,-1,4802,4802,0,0.0,1e-06,0
relu__13,activation,2468,2469,4798,4801,1605632,0.22770073594152787,0.001568,1605632
convolution_16,activation,2469,2471,4794,4794,1605632,0.22727782393805543,0.001568,1605632
getitem_67,activation,2473,-1,4794,4794,512,0.0,1e-06,512
getitem_68,activation,2474,-1,4794,4794,512,0.0,1e-06,512
getitem_69,activation,2475,-1,4794,4794,0,0.0,1e-06,0
relu__14,activation,2476,2477,4790,4793,1605632,0.22639513592794397,0.001568,1605632
convolution_17,activation,2477,2479,4786,4786,6422528,0.22525849595852054,0.006272,6422528
getitem_71,activation,2481,-1,4786,4786,2048,0.0,2e-06,2048
getitem_72,activation,2482,-1,4786,4786,2048,0.0,2e-06,2048
getitem_73,activation,2483,-1,4786,4786,0,0.0,1e-06,0
relu__15,activation,2485,2509,4781,4785,6422528,0.22260326399654004,0.006272,6422528
convolution_18,activation,2486,2488,4777,4777,1605632,0.22358630398474494,0.001568,1605632
getitem_75,activation,2490,-1,4777,4777,512,0.0,1e-06,512
getitem_76,activation,2491,-1,4777,4777,512,0.0,1e-06,512
getitem_77,activation,2492,-1,4777,4777,0,0.0,1e-06,0
relu__16,activation,2493,2494,4773,4776,1605632,0.2220799999684081,0.001568,1605632
convolution_19,activation,2494,2496,4769,4769,1605632,0.22168473596870755,0.001568,1605632
getitem_79,activation,2498,-1,4769,4769,512,0.0,1e-06,512
getitem_80,activation,2499,-1,4769,4769,512,0.0,1e-06,512
getitem_81,activation,2500,-1,4769,4769,0,0.0,1e-06,0
relu__17,activation,2501,2502,4765,4768,1605632,0.22088703997246778,0.001568,1605632
convolution_20,activation,2502,2504,4761,4761,6422528,0.22016716798208513,0.006272,6422528
getitem_83,activation,2506,-1,4761,4761,2048,0.0,2e-06,2048
getitem_84,activation,2507,-1,4761,4761,2048,0.0,2e-06,2048
getitem_85,activation,2508,-1,4761,4761,0,0.0,1e-06,0
relu__18,activation,2510,2534,4756,4760,6422528,0.2176686079781489,0.006272,6422528
convolution_21,activation,2511,2513,4752,4752,1605632,0.21864243197813496,0.001568,1605632
getitem_87,activation,2515,-1,4752,4752,512,0.0,1e-06,512
getitem_88,activation,2516,-1,4752,4752,512,0.0,1e-06,512
getitem_89,activation,2517,-1,4752,4752,0,0.0,1e-06,0
relu__19,activation,2518,2519,4748,4751,1605632,0.21721497595123812,0.001568,1605632
convolution_22,activation,2519,2521,4744,4744,1605632,0.21685555194876954,0.001568,1605632
getitem_91,activation,2523,-1,4744,4744,512,0.0,1e-06,512
getitem_92,activation,2524,-1,4744,4744,512,0.0,1e-06,512
getitem_93,activation,2525,-1,4744,4744,0,0.0,1e-06,0
relu__20,activation,2526,2527,4740,4743,1605632,0.2160721919462071,0.001568,1605632
convolution_23,activation,2527,2529,4736,4736,6422528,0.21491507193073492,0.006272,6422528
getitem_95,activation,2531,-1,4736,4736,2048,0.0,2e-06,2048
getitem_96,activation,2532,-1,4736,4736,2048,0.0,2e-06,2048
getitem_97,activation,2533,-1,4736,4736,0,0.0,1e-06,0
relu__21,activation,2535,2559,4731,4735,6422528,0.21220044793933499,0.006272,6422528
convolution_24,activation,2536,2538,4727,4727,1605632,0.2131107839196907,0.001568,1605632
getitem_99,activation,2540,-1,4727,4727,512,0.0,1e-06,512
getitem_100,activation,2541,-1,4727,4727,512,0.0,1e-06,512
getitem_101,activation,2542,-1,4727,4727,0,0.0,1e-06,0
relu__22,activation,2543,2544,4723,4726,1605632,0.2115962879192071,0.001568,1605632
convolution_25,activation,2544,2546,4719,4719,1605632,0.211154943918808,0.001568,1605632
getitem_103,activation,2548,-1,4719,4719,512,0.0,1e-06,512
getitem_104,activation,2549,-1,4719,4719,512,0.0,1e-06,512
getitem_105,activation,2550,-1,4719,4719,0,0.0,1e-06,0
relu__23,activation,2551,2552,4715,4718,1605632,0.21025177591666447,0.001568,1605632
convolution_26,activation,2552,2554,4711,4711,6422528,0.20905369590595232,0.006272,6422528
getitem_107,activation,2556,-1,4711,4711,2048,0.0,2e-06,2048
getitem_108,activation,2557,-1,4711,4711,2048,0.0,2e-06,2048
getitem_109,activation,2558,-1,4711,4711,0,0.0,1e-06,0
relu__24,activation,2560,2584,4706,4710,6422528,0.206401535907759,0.006272,6422528
convolution_27,activation,2561,2563,4702,4702,1605632,0.20749107188545038,0.001568,1605632
getitem_111,activation,2565,-1,4702,4702,512,0.0,1e-06,512
getitem_112,activation,2566,-1,4702,4702,512,0.0,1e-06,512
getitem_113,activation,2567,-1,4702,4702,0,0.0,1e-06,0
relu__25,activation,2568,2569,4698,4701,1605632,0.206010367920621,0.001568,1605632
convolution_28,activation,2569,2571,4694,4694,1605632,0.205634559927507,0.001568,1605632
getitem_115,activation,2573,-1,4694,4694,512,0.0,1e-06,512
getitem_116,activation,2574,-1,4694,4694,512,0.0,1e-06,512
getitem_117,activation,2575,-1,4694,4694,0,0.0,1e-06,0
relu__26,activation,2576,2577,4690,4693,1605632,0.20480819193459923,0.001568,1605632
convolution_29,activation,2577,2579,4686,4686,6422528,0.20403814394585665,0.006272,6422528
getitem_119,activation,2581,-1,4686,4686,2048,0.0,2e-06,2048
getitem_120,activation,2582,-1,4686,4686,2048,0.0,2e-06,2048
getitem_121,activation,2583,-1,4686,4686,0,0.0,1e-06,0
relu__27,activation,2585,2609,4681,4685,6422528,0.20125900795310603,0.006272,6422528
convolution_30,activation,2586,2588,4677,4677,1605632,0.20238745596073443,0.001568,1605632
getitem_123,activation,2590,-1,4677,4677,512,0.0,1e-06,512
getitem_124,activation,2591,-1,4677,4677,512,0.0,1e-06,512
getitem_125,activation,2592,-1,4677,4677,0,0.0,1e-06,0
relu__28,activation,2593,2594,4673,4676,1605632,0.20046643196232486,0.001568,1605632
convolution_31,activation,2594,2596,4669,4669,1605632,0.1999708159714924,0.001568,1605632
getitem_127,activation,2598,-1,4669,4669,512,0.0,1e-06,512
getitem_128,activation,2599,-1,4669,4669,512,0.0,1e-06,512
getitem_129,activation,2600,-1,4669,4669,0,0.0,1e-06,0
relu__29,activation,2601,2602,4665,4668,1605632,0.19913625595904755,0.001568,1605632
convolution_32,activation,2602,2604,4661,4661,6422528,0.19815833596326277,0.006272,6422528
getitem_131,activation,2606,-1,4661,4661,2048,0.0,2e-06,2048
getitem_132,activation,2607,-1,4661,4661,2048,0.0,2e-06,2048
getitem_133,activation,2608,-1,4661,4661,0,0.0,1e-06,0
relu__30,activation,2610,2634,4656,4660,6422528,0.19539046398177617,0.006272,6422528
convolution_33,activation,2611,2613,4652,4652,1605632,0.19657011196389665,0.001568,1605632
getitem_135,activation,2615,-1,4652,4652,512,0.0,1e-06,512
getitem_136,activation,2616,-1,4652,4652,512,0.0,1e-06,512
getitem_137,activation,2617,-1,4652,4652,0,0.0,1e-06,0
relu__31,activation,2618,2619,4648,4651,1605632,0.19481600003130606,0.001568,1605632
convolution_34,activation,2619,2621,4644,4644,1605632,0.19435315203480297,0.001568,1605632
getitem_139,activation,2623,-1,4644,4644,512,0.0,1e-06,512
getitem_140,activation,2624,-1,4644,4644,512,0.0,1e-06,512
getitem_141,activation,2625,-1,4644,4644,0,0.0,1e-06,0
relu__32,activation,2626,2627,4640,4643,1605632,0.19348070405609782,0.001568,1605632
convolution_35,activation,2627,2629,4636,4636,6422528,0.19229491206817204,0.006272,6422528
getitem_143,activation,2631,-1,4636,4636,2048,0.0,2e-06,2048
getitem_144,activation,2632,-1,4636,4636,2048,0.0,2e-06,2048
getitem_145,activation,2633,-1,4636,4636,0,0.0,1e-06,0
relu__33,activation,2635,2659,4608,4635,6422528,0.1843875840697425,0.006272,6422528
convolution_36,activation,2636,2638,4627,4627,3211264,0.19057766406051688,0.003136,3211264
getitem_147,activation,2640,-1,4627,4627,1024,0.0,1e-06,1024
getitem_148,activation,2641,-1,4627,4627,1024,0.0,1e-06,1024
getitem_149,activation,2642,-1,4627,4627,0,0.0,1e-06,0
relu__34,activation,2643,2644,4623,4626,3211264,0.18853990402445067,0.003136,3211264
convolution_37,activation,2644,2646,4619,4619,802816,0.1881272320281701,0.000784,802816
getitem_151,activation,2648,-1,4619,4619,1024,0.0,1e-06,1024
getitem_152,activation,2649,-1,4619,4619,1024,0.0,1e-06,1024
getitem_153,activation,2650,-1,4619,4619,0,0.0,1e-06,0
relu__35,activation,2651,2652,4615,4618,802816,0.18725478403083853,0.000784,802816
convolution_38,activation,2652,2654,4611,4611,3211264,0.18654412802494938,0.003136,3211264
getitem_155,activation,2656,-1,4611,4611,4096,0.0,4e-06,4096
getitem_156,activation,2657,-1,4611,4611,4096,0.0,4e-06,4096
getitem_157,activation,2658,-1,4611,4611,0,0.0,1e-06,0
convolution_39,activation,2659,2661,4604,4604,3211264,0.1837281280532467,0.003136,3211264
getitem_159,activation,2663,-1,4604,4604,4096,0.0,4e-06,4096
getitem_160,activation,2664,-1,4604,4604,4096,0.0,4e-06,4096
getitem_161,activation,2665,-1,4604,4604,0,0.0,1e-06,0
relu__36,activation,2667,2691,4599,4603,3211264,0.18128281604125976,0.003136,3211264
convolution_40,activation,2668,2670,4595,4595,802816,0.18230886403284846,0.000784,802816
getitem_163,activation,2672,-1,4595,4595,1024,0.0,1e-06,1024
getitem_164,activation,2673,-1,4595,4595,1024,0.0,1e-06,1024
getitem_165,activation,2674,-1,4595,4595,0,0.0,1e-06,0
relu__37,activation,2675,2676,4591,4594,802816,0.1808906240239728,0.000784,802816
convolution_41,activation,2676,2678,4587,4587,802816,0.18053427202068154,0.000784,802816
getitem_167,activation,2680,-1,4587,4587,1024,0.0,1e-06,1024
getitem_168,activation,2681,-1,4587,4587,1024,0.0,1e-06,1024
getitem_169,activation,2682,-1,4587,4587,0,0.0,1e-06,0
relu__38,activation,2683,2684,4583,4586,802816,0.17972736001387118,0.000784,802816
convolution_42,activation,2684,2686,4579,4579,3211264,0.17917235200665774,0.003136,3211264
getitem_171,activation,2688,-1,4579,4579,4096,0.0,4e-06,4096
getitem_172,activation,2689,-1,4579,4579,4096,0.0,4e-06,4096
getitem_173,activation,2690,-1,4579,4579,0,0.0,1e-06,0
relu__39,activation,2692,2716,4574,4578,3211264,0.17633587200380738,0.003136,3211264
convolution_43,activation,2693,2695,4570,4570,802816,0.17776640002056837,0.000784,802816
getitem_175,activation,2697,-1,4570,4570,1024,0.0,1e-06,1024
getitem_176,activation,2698,-1,4570,4570,1024,0.0,1e-06,1024
getitem_177,activation,2699,-1,4570,4570,0,0.0,1e-06,0
relu__40,activation,2700,2701,4566,4569,802816,0.17616281603090347,0.000784,802816
convolution_44,activation,2701,2703,4562,4562,802816,0.17569177603535235,0.000784,802816
getitem_179,activation,2705,-1,4562,4562,1024,0.0,1e-06,1024
getitem_180,activation,2706,-1,4562,4562,1024,0.0,1e-06,1024
getitem_181,activation,2707,-1,4562,4562,0,0.0,1e-06,0
relu__41,activation,2708,2709,4558,4561,802816,0.17481625602953016,0.000784,802816
convolution_45,activation,2709,2711,4554,4554,3211264,0.17407385603897157,0.003136,3211264
getitem_183,activation,2713,-1,4554,4554,4096,0.0,4e-06,4096
getitem_184,activation,2714,-1,4554,4554,4096,0.0,4e-06,4096
getitem_185,activation,2715,-1,4554,4554,0,0.0,1e-06,0
relu__42,activation,2717,2741,4549,4553,3211264,0.1715937280617642,0.003136,3211264
convolution_46,activation,2718,2720,4545,4545,802816,0.1726586880478996,0.000784,802816
getitem_187,activation,2722,-1,4545,4545,1024,0.0,1e-06,1024
getitem_188,activation,2723,-1,4545,4545,1024,0.0,1e-06,1024
getitem_189,activation,2724,-1,4545,4545,0,0.0,1e-06,0
relu__43,activation,2725,2726,4541,4544,802816,0.1711073280349362,0.000784,802816
convolution_47,activation,2726,2728,4537,4537,802816,0.17075609603151562,0.000784,802816
getitem_191,activation,2730,-1,4537,4537,1024,0.0,1e-06,1024
getitem_192,activation,2731,-1,4537,4537,1024,0.0,1e-06,1024
getitem_193,activation,2732,-1,4537,4537,0,0.0,1e-06,0
relu__44,activation,2733,2734,4533,4536,802816,0.1699799040388304,0.000784,802816
convolution_48,activation,2734,2736,4529,4529,3211264,0.1693491200488049,0.003136,3211264
getitem_195,activation,2738,-1,4529,4529,4096,0.0,4e-06,4096
getitem_196,activation,2739,-1,4529,4529,4096,0.0,4e-06,4096
getitem_197,activation,2740,-1,4529,4529,0,0.0,1e-06,0
relu__45,activation,2742,2766,4524,4528,3211264,0.16684748803079016,0.003136,3211264
convolution_49,activation,2743,2745,4520,4520,802816,0.16796364803425853,0.000784,802816
getitem_199,activation,2747,-1,4520,4520,1024,0.0,1e-06,1024
getitem_200,activation,2748,-1,4520,4520,1024,0.0,1e-06,1024
getitem_201,activation,2749,-1,4520,4520,0,0.0,1e-06,0
relu__46,activation,2750,2751,4516,4519,802816,0.16626483203470593,0.000784,802816
convolution_50,activation,2751,2753,4512,4512,802816,0.16590233603864799,0.000784,802816
getitem_203,activation,2755,-1,4512,4512,1024,0.0,1e-06,1024
getitem_204,activation,2756,-1,4512,4512,1024,0.0,1e-06,1024
getitem_205,activation,2757,-1,4512,4512,0,0.0,1e-06,0
relu__47,activation,2758,2759,4508,4511,802816,0.16503910405561223,0.000784,802816
convolution_51,activation,2759,2761,4504,4504,3211264,0.1645240320637812,0.003136,3211264
getitem_207,activation,2763,-1,4504,4504,4096,0.0,4e-06,4096
getitem_208,activation,2764,-1,4504,4504,4096,0.0,4e-06,4096
getitem_209,activation,2765,-1,4504,4504,0,0.0,1e-06,0
relu__48,activation,2767,2791,4499,4503,3211264,0.16207462410256168,0.003136,3211264
convolution_52,activation,2768,2770,4495,4495,802816,0.16307814409211185,0.000784,802816
getitem_211,activation,2772,-1,4495,4495,1024,0.0,1e-06,1024
getitem_212,activation,2773,-1,4495,4495,1024,0.0,1e-06,1024
getitem_213,activation,2774,-1,4495,4495,0,0.0,1e-06,0
relu__49,activation,2775,2776,4491,4494,802816,0.16147456008754574,0.000784,802816
convolution_53,activation,2776,2778,4487,4487,802816,0.1611089920923104,0.000784,802816
getitem_215,activation,2780,-1,4487,4487,1024,0.0,1e-06,1024
getitem_216,activation,2781,-1,4487,4487,1024,0.0,1e-06,1024
getitem_217,activation,2782,-1,4487,4487,0,0.0,1e-06,0
relu__50,activation,2783,2784,4483,4486,802816,0.1603471361026158,0.000784,802816
convolution_54,activation,2784,2786,4479,4479,3211264,0.1597255680933585,0.003136,3211264
getitem_219,activation,2788,-1,4479,4479,4096,0.0,4e-06,4096
getitem_220,activation,2789,-1,4479,4479,4096,0.0,4e-06,4096
getitem_221,activation,2790,-1,4479,4479,0,0.0,1e-06,0
relu__51,activation,2792,2816,4474,4478,3211264,0.1573591041006139,0.003136,3211264
convolution_55,activation,2793,2795,4470,4470,802816,0.15841792010329567,0.000784,802816
getitem_223,activation,2797,-1,4470,4470,1024,0.0,1e-06,1024
