rank,node_name,node_type,gtype,median_run_time_s,median_peak_mem_bytes,median_active_mem_bytes,device
0,arg0_1,other,forward,3.071999922394752e-05,744192000,744192000,unknown
1,arg0_2,other,forward,6.144000217318535e-06,744192000,744192000,unknown
2,arg0_3,other,forward,1.945599913597107e-05,744192000,744192000,unknown
3,arg0_4,other,forward,2.457600086927414e-05,744192000,744192000,unknown
4,arg0_5,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
5,arg0_6,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
6,arg0_7,other,forward,1.740800030529499e-05,744192000,744192000,unknown
7,arg0_8,other,forward,1.740800030529499e-05,744192000,744192000,unknown
8,arg0_9,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
9,arg0_10,other,forward,1.740800030529499e-05,744192000,744192000,unknown
10,arg0_11,other,forward,1.740800030529499e-05,744192000,744192000,unknown
11,arg0_12,other,forward,1.740800030529499e-05,744192000,744192000,unknown
12,arg0_13,other,forward,1.740800030529499e-05,744192000,744192000,unknown
13,arg0_14,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
14,arg0_15,other,forward,2.0479999482631683e-05,744192000,744192000,unknown
15,arg0_16,other,forward,1.740800030529499e-05,744192000,744192000,unknown
16,arg0_17,other,forward,1.740800030529499e-05,744192000,744192000,unknown
17,arg0_18,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
18,arg0_19,other,forward,1.740800030529499e-05,744192000,744192000,unknown
19,arg0_20,other,forward,1.740800030529499e-05,744192000,744192000,unknown
20,arg0_21,other,forward,1.740800030529499e-05,744192000,744192000,unknown
21,arg0_22,other,forward,2.0479999482631683e-05,744192000,744192000,unknown
22,arg0_23,other,forward,1.740800030529499e-05,744192000,744192000,unknown
23,arg0_24,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
24,arg0_25,other,forward,1.740800030529499e-05,744192000,744192000,unknown
25,arg0_26,other,forward,2.1503999829292296e-05,744192000,744192000,unknown
26,arg0_27,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
27,arg0_28,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
28,arg0_29,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
29,arg0_30,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
30,arg0_31,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
31,arg0_32,other,forward,2.0479999482631683e-05,744192000,744192000,unknown
32,arg0_33,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
33,arg0_34,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
34,arg0_35,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
35,arg0_36,other,forward,1.945599913597107e-05,744192000,744192000,unknown
36,arg0_37,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
37,arg0_38,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
38,arg0_39,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
39,arg0_40,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
40,arg0_41,other,forward,1.740800030529499e-05,744192000,744192000,unknown
41,arg0_42,other,forward,1.740800030529499e-05,744192000,744192000,unknown
42,arg0_43,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
43,arg0_44,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
44,arg0_45,other,forward,1.740800030529499e-05,744192000,744192000,unknown
45,arg0_46,other,forward,2.0479999482631683e-05,744192000,744192000,unknown
46,arg0_47,other,forward,2.0479999482631683e-05,744192000,744192000,unknown
47,arg0_48,other,forward,4.5056000351905825e-05,744192000,744192000,unknown
48,arg0_49,other,forward,4.403200000524521e-05,744192000,744192000,unknown
49,arg0_50,other,forward,4.198399931192398e-05,744192000,744192000,unknown
50,arg0_51,other,forward,4.300799965858459e-05,744192000,744192000,unknown
51,arg0_52,other,forward,4.300799965858459e-05,744192000,744192000,unknown
52,arg0_53,other,forward,4.5056000351905825e-05,744192000,744192000,unknown
53,arg0_54,other,forward,4.403200000524521e-05,744192000,744192000,unknown
54,arg0_55,other,forward,4.403200000524521e-05,744192000,744192000,unknown
55,arg0_56,other,forward,4.403200000524521e-05,744192000,744192000,unknown
56,arg0_57,other,forward,4.5056000351905825e-05,744192000,744192000,unknown
57,arg0_58,other,forward,4.403200000524521e-05,744192000,744192000,unknown
58,arg0_59,other,forward,4.300799965858459e-05,744192000,744192000,unknown
59,arg0_60,other,forward,4.403200000524521e-05,744192000,744192000,unknown
60,arg0_61,other,forward,4.5056000351905825e-05,744192000,744192000,unknown
61,arg0_62,other,forward,4.5056000351905825e-05,744192000,744192000,unknown
62,arg0_63,other,forward,4.403200000524521e-05,744192000,744192000,unknown
63,arg0_64,other,forward,5.3247999399900436e-05,744192000,744192000,unknown
64,arg0_65,other,forward,3.993599861860275e-05,744192000,744192000,unknown
65,arg0_66,other,forward,3.071999922394752e-05,744192000,744192000,unknown
66,arg0_67,other,forward,1.945599913597107e-05,744192000,744192000,unknown
67,arg0_68,other,forward,2.2528000175952913e-05,744192000,744192000,unknown
68,arg0_69,other,forward,1.740800030529499e-05,744192000,744192000,unknown
69,arg0_70,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
70,arg0_71,other,forward,1.740800030529499e-05,744192000,744192000,unknown
71,arg0_72,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
72,arg0_73,other,forward,1.740800030529499e-05,744192000,744192000,unknown
73,arg0_74,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
74,arg0_75,other,forward,1.740800030529499e-05,744192000,744192000,unknown
75,arg0_76,other,forward,1.740800030529499e-05,744192000,744192000,unknown
76,arg0_77,other,forward,1.6383999958634378e-05,744192000,744192000,unknown
77,arg0_78,other,forward,1.740800030529499e-05,744192000,744192000,unknown
78,arg0_79,other,forward,1.945599913597107e-05,744192000,744192000,unknown
79,arg0_80,other,forward,1.740800030529499e-05,744192000,744192000,unknown
80,arg0_81,other,forward,1.740800030529499e-05,744192000,744192000,unknown
81,arg0_82,other,forward,1.740800030529499e-05,744192000,744192000,unknown
82,arg0_83,other,forward,1.740800030529499e-05,744192000,744192000,unknown
83,arg0_84,other,forward,1.740800030529499e-05,744192000,744192000,unknown
84,arg0_85,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
85,arg0_86,other,forward,1.740800030529499e-05,744192000,744192000,unknown
86,arg0_87,other,forward,1.740800030529499e-05,744192000,744192000,unknown
87,arg0_88,other,forward,1.6383999958634378e-05,744192000,744192000,unknown
88,arg0_89,other,forward,1.740800030529499e-05,744192000,744192000,unknown
89,arg0_90,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
90,arg0_91,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
91,arg0_92,other,forward,1.740800030529499e-05,744192000,744192000,unknown
92,arg0_93,other,forward,1.740800030529499e-05,744192000,744192000,unknown
93,arg0_94,other,forward,1.740800030529499e-05,744192000,744192000,unknown
94,arg0_95,other,forward,1.740800030529499e-05,744192000,744192000,unknown
95,arg0_96,other,forward,1.740800030529499e-05,744192000,744192000,unknown
96,arg0_97,other,forward,1.740800030529499e-05,744192000,744192000,unknown
97,arg0_98,other,forward,1.740800030529499e-05,744192000,744192000,unknown
98,arg0_99,other,forward,1.740800030529499e-05,744192000,744192000,unknown
99,arg0_100,other,forward,2.1503999829292296e-05,744192000,744192000,unknown
100,arg0_101,other,forward,1.945599913597107e-05,744192000,744192000,unknown
101,arg0_102,other,forward,1.740800030529499e-05,744192000,744192000,unknown
102,arg0_103,other,forward,1.6383999958634378e-05,744192000,744192000,unknown
103,arg0_104,other,forward,1.740800030529499e-05,744192000,744192000,unknown
104,arg0_105,other,forward,1.740800030529499e-05,744192000,744192000,unknown
105,arg0_106,other,forward,1.945599913597107e-05,744192000,744192000,unknown
106,arg0_107,other,forward,1.740800030529499e-05,744192000,744192000,unknown
107,arg0_108,other,forward,1.740800030529499e-05,744192000,744192000,unknown
108,arg0_109,other,forward,1.740800030529499e-05,744192000,744192000,unknown
109,arg0_110,other,forward,1.6383999958634378e-05,744192000,744192000,unknown
110,arg0_111,other,forward,1.945599913597107e-05,744192000,744192000,unknown
111,arg0_112,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
112,arg0_113,other,forward,1.740800030529499e-05,744192000,744192000,unknown
113,arg0_114,other,forward,1.740800030529499e-05,744192000,744192000,unknown
114,arg0_115,other,forward,1.740800030529499e-05,744192000,744192000,unknown
115,arg0_116,other,forward,1.740800030529499e-05,744192000,744192000,unknown
116,arg0_117,other,forward,1.740800030529499e-05,744192000,744192000,unknown
117,arg0_118,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
118,arg0_119,other,forward,1.740800030529499e-05,744192000,744192000,unknown
119,arg0_120,other,forward,1.8432000651955604e-05,744192000,744192000,unknown
120,arg0_121,other,forward,1.6383999958634378e-05,744192000,744192000,unknown
121,arg0_122,other,forward,2.0479999482631683e-05,744192000,744192000,unknown
122,arg0_123,other,forward,1.740800030529499e-05,744192000,744192000,unknown
123,arg0_124,other,forward,1.740800030529499e-05,744192000,744192000,unknown
124,arg0_125,other,forward,1.740800030529499e-05,744192000,744192000,unknown
125,arg0_126,other,forward,1.740800030529499e-05,744192000,744192000,unknown
126,arg0_127,other,forward,1.740800030529499e-05,744192000,744192000,unknown
