rank,node_name,op_type,node_type,gtype,median_run_time_s,median_peak_mem_bytes,median_active_mem_bytes,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,memory_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes,device
0,arg0_1,placeholder,parameter,forward,2.5599999353289605e-05,751040512,751040512,-1,-1,-1,-1,37632,0.0,0.0,0,unknown
1,arg0_2,placeholder,parameter,forward,2.8672000393271447e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
2,arg0_3,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
3,arg0_4,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,16384,0.0,0.0,0,unknown
4,arg0_5,placeholder,parameter,forward,1.6383999958634378e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
5,arg0_6,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
6,arg0_7,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,147456,0.0,0.0,0,unknown
7,arg0_8,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
8,arg0_9,placeholder,parameter,forward,3.993599861860275e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
9,arg0_10,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,65536,0.0,0.0,0,unknown
10,arg0_11,placeholder,parameter,forward,2.6623999699950218e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
11,arg0_12,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
12,arg0_13,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,65536,0.0,0.0,0,unknown
13,arg0_14,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
14,arg0_15,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
15,arg0_16,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,65536,0.0,0.0,0,unknown
16,arg0_17,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
17,arg0_18,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
18,arg0_19,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,147456,0.0,0.0,0,unknown
19,arg0_20,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
20,arg0_21,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
21,arg0_22,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,65536,0.0,0.0,0,unknown
22,arg0_23,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
23,arg0_24,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
24,arg0_25,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,65536,0.0,0.0,0,unknown
25,arg0_26,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
26,arg0_27,placeholder,parameter,forward,2.8672000393271447e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
27,arg0_28,placeholder,parameter,forward,2.0479999482631683e-05,751040512,751040512,-1,-1,-1,-1,147456,0.0,0.0,0,unknown
28,arg0_29,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
29,arg0_30,placeholder,parameter,forward,2.764800004661083e-05,751040512,751040512,-1,-1,-1,-1,256,0.0,0.0,0,unknown
30,arg0_31,placeholder,parameter,forward,4.403200000524521e-05,751040512,751040512,-1,-1,-1,-1,65536,0.0,0.0,0,unknown
31,arg0_32,placeholder,parameter,forward,2.2528000175952913e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
32,arg0_33,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
33,arg0_34,placeholder,parameter,forward,2.0479999482631683e-05,751040512,751040512,-1,-1,-1,-1,131072,0.0,0.0,0,unknown
34,arg0_35,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
35,arg0_36,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
36,arg0_37,placeholder,parameter,forward,2.0479999482631683e-05,751040512,751040512,-1,-1,-1,-1,589824,0.0,0.0,0,unknown
37,arg0_38,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
38,arg0_39,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
39,arg0_40,placeholder,parameter,forward,2.0479999482631683e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
40,arg0_41,placeholder,parameter,forward,2.6623999699950218e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
41,arg0_42,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
42,arg0_43,placeholder,parameter,forward,2.1503999829292296e-05,751040512,751040512,-1,-1,-1,-1,524288,0.0,0.0,0,unknown
43,arg0_44,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
44,arg0_45,placeholder,parameter,forward,2.1503999829292296e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
45,arg0_46,placeholder,parameter,forward,2.457600086927414e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
46,arg0_47,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
47,arg0_48,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
48,arg0_49,placeholder,parameter,forward,2.457600086927414e-05,751040512,751040512,-1,-1,-1,-1,589824,0.0,0.0,0,unknown
49,arg0_50,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
50,arg0_51,placeholder,parameter,forward,2.3552000522613525e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
51,arg0_52,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
52,arg0_53,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
53,arg0_54,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
54,arg0_55,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
55,arg0_56,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
56,arg0_57,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
57,arg0_58,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,589824,0.0,0.0,0,unknown
58,arg0_59,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
59,arg0_60,placeholder,parameter,forward,2.1503999829292296e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
60,arg0_61,placeholder,parameter,forward,3.071999922394752e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
61,arg0_62,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
62,arg0_63,placeholder,parameter,forward,2.3552000522613525e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
63,arg0_64,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
64,arg0_65,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
65,arg0_66,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
66,arg0_67,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,589824,0.0,0.0,0,unknown
67,arg0_68,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
68,arg0_69,placeholder,parameter,forward,2.2528000175952913e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
69,arg0_70,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
70,arg0_71,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
71,arg0_72,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
72,arg0_73,placeholder,parameter,forward,2.5599999353289605e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
73,arg0_74,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
74,arg0_75,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
75,arg0_76,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,589824,0.0,0.0,0,unknown
76,arg0_77,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
77,arg0_78,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
78,arg0_79,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
79,arg0_80,placeholder,parameter,forward,2.1503999829292296e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
80,arg0_81,placeholder,parameter,forward,4.710400104522705e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
81,arg0_82,placeholder,parameter,forward,4.300799965858459e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
82,arg0_83,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
83,arg0_84,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
84,arg0_85,placeholder,parameter,forward,4.5056000351905825e-05,751040512,751040512,-1,-1,-1,-1,589824,0.0,0.0,0,unknown
85,arg0_86,placeholder,parameter,forward,4.300799965858459e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
86,arg0_87,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
87,arg0_88,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
88,arg0_89,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
89,arg0_90,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
90,arg0_91,placeholder,parameter,forward,4.6080000698566435e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
91,arg0_92,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
92,arg0_93,placeholder,parameter,forward,4.5056000351905825e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
93,arg0_94,placeholder,parameter,forward,4.812800139188767e-05,751040512,751040512,-1,-1,-1,-1,589824,0.0,0.0,0,unknown
94,arg0_95,placeholder,parameter,forward,4.6080000698566435e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
95,arg0_96,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
96,arg0_97,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
97,arg0_98,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
98,arg0_99,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
99,arg0_100,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
100,arg0_101,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
