activation_name,node_type,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes
convolution,activation,2336,2338,4926,4926,25690112,0.5566003189943739,0.025088,25690112
getitem_1,activation,2340,-1,4926,4926,256,0.0,1e-06,256
getitem_2,activation,2341,-1,4926,4926,256,0.0,1e-06,256
getitem_3,activation,2342,-1,4926,4926,0,0.0,1e-06,0
relu_,activation,2343,2344,4924,4925,25690112,0.5501706229746353,0.025088,25690112
getitem_4,activation,2345,2370,4897,4920,6422528,0.5313791991360494,0.006272,6422528
getitem_5,activation,2346,-1,4924,4924,12845056,0.0,0.012544,12845056
convolution_1,activation,2347,2349,4916,4916,6422528,0.5477529589440685,0.006272,6422528
getitem_7,activation,2351,-1,4916,4916,256,0.0,1e-06,256
getitem_8,activation,2352,-1,4916,4916,256,0.0,1e-06,256
getitem_9,activation,2353,-1,4916,4916,0,0.0,1e-06,0
relu__1,activation,2354,2355,4912,4915,6422528,0.5445263349805037,0.006272,6422528
convolution_2,activation,2355,2357,4908,4908,6422528,0.5436897269859919,0.006272,6422528
getitem_11,activation,2359,-1,4908,4908,256,0.0,1e-06,256
getitem_12,activation,2360,-1,4908,4908,256,0.0,1e-06,256
getitem_13,activation,2361,-1,4908,4908,0,0.0,1e-06,0
relu__2,activation,2362,2363,4904,4907,6422528,0.5418362869936982,0.006272,6422528
convolution_3,activation,2363,2365,4900,4900,25690112,0.5351157751400034,0.025088,25690112
getitem_15,activation,2367,-1,4900,4900,1024,0.0,1e-06,1024
getitem_16,activation,2368,-1,4900,4900,1024,0.0,1e-06,1024
getitem_17,activation,2369,-1,4900,4900,0,0.0,1e-06,0
convolution_4,activation,2370,2372,4893,4893,25690112,0.5256847349815078,0.025088,25690112
getitem_19,activation,2374,-1,4893,4893,1024,0.0,1e-06,1024
getitem_20,activation,2375,-1,4893,4893,1024,0.0,1e-06,1024
getitem_21,activation,2376,-1,4893,4893,0,0.0,1e-06,0
relu__3,activation,2378,2402,4888,4892,25690112,0.5049159667268401,0.025088,25690112
convolution_5,activation,2379,2381,4884,4884,6422528,0.5110261746570476,0.006272,6422528
getitem_23,activation,2383,-1,4884,4884,256,0.0,1e-06,256
getitem_24,activation,2384,-1,4884,4884,256,0.0,1e-06,256
getitem_25,activation,2385,-1,4884,4884,0,0.0,1e-06,0
relu__4,activation,2386,2387,4880,4883,6422528,0.5076807666998365,0.006272,6422528
convolution_6,activation,2387,2389,4876,4876,6422528,0.5067550706937918,0.006272,6422528
getitem_27,activation,2391,-1,4876,4876,256,0.0,1e-06,256
getitem_28,activation,2392,-1,4876,4876,256,0.0,1e-06,256
getitem_29,activation,2393,-1,4876,4876,0,0.0,1e-06,0
relu__5,activation,2394,2395,4872,4875,6422528,0.5045903347153224,0.006272,6422528
convolution_7,activation,2395,2397,4868,4868,25690112,0.4995665907450027,0.025088,25690112
getitem_31,activation,2399,-1,4868,4868,1024,0.0,1e-06,1024
getitem_32,activation,2400,-1,4868,4868,1024,0.0,1e-06,1024
getitem_33,activation,2401,-1,4868,4868,0,0.0,1e-06,0
relu__6,activation,2403,2427,4863,4867,25690112,0.47837491091899653,0.025088,25690112
convolution_8,activation,2404,2406,4859,4859,6422528,0.4837447667978711,0.006272,6422528
getitem_35,activation,2408,-1,4859,4859,256,0.0,1e-06,256
getitem_36,activation,2409,-1,4859,4859,256,0.0,1e-06,256
getitem_37,activation,2410,-1,4859,4859,0,0.0,1e-06,0
relu__7,activation,2411,2412,4855,4858,6422528,0.4805130228232601,0.006272,6422528
convolution_9,activation,2412,2414,4851,4851,6422528,0.4794777588415899,0.006272,6422528
getitem_39,activation,2416,-1,4851,4851,256,0.0,1e-06,256
getitem_40,activation,2417,-1,4851,4851,256,0.0,1e-06,256
getitem_41,activation,2418,-1,4851,4851,0,0.0,1e-06,0
relu__8,activation,2419,2420,4847,4850,6422528,0.47666790290363215,0.006272,6422528
convolution_10,activation,2420,2422,4843,4843,25690112,0.47130623902194285,0.025088,25690112
getitem_43,activation,2424,-1,4843,4843,1024,0.0,1e-06,1024
getitem_44,activation,2425,-1,4843,4843,1024,0.0,1e-06,1024
getitem_45,activation,2426,-1,4843,4843,0,0.0,1e-06,0
relu__9,activation,2428,2452,4815,4842,25690112,0.43753983926959394,0.025088,25690112
