rank,node_name,node_type,gtype,median_run_time_s,median_peak_mem_bytes,median_active_mem_bytes,device
0,arg0_1,parameter,forward,2.0479999482631683e-05,614915072,614915072,unknown
1,arg0_2,parameter,forward,1.8432000651955604e-05,614915072,614915072,unknown
2,arg0_3,parameter,forward,1.8432000651955604e-05,614915072,614915072,unknown
3,arg0_4,parameter,forward,1.8432000651955604e-05,614915072,614915072,unknown
4,arg0_5,parameter,forward,1.740800030529499e-05,614915072,614915072,unknown
5,arg0_6,parameter,forward,1.8432000651955604e-05,614915072,614915072,unknown
6,arg0_7,parameter,forward,1.535999961197376e-05,614915072,614915072,unknown
7,arg0_8,parameter,forward,1.6383999958634378e-05,614915072,614915072,unknown
8,arg0_9,parameter,forward,1.6383999958634378e-05,614915072,614915072,unknown
9,arg0_10,parameter,forward,1.6383999958634378e-05,614915072,614915072,unknown
10,arg0_11,parameter,forward,1.740800030529499e-05,614915072,614915072,unknown
11,arg0_12,parameter,forward,2.0447999238967895e-05,614915072,614915072,unknown
12,arg0_13,parameter,forward,1.740800030529499e-05,614915072,614915072,unknown
13,arg0_14,parameter,forward,1.535999961197376e-05,614915072,614915072,unknown
14,arg0_15,parameter,forward,1.651199907064438e-05,614915072,614915072,unknown
15,arg0_16,parameter,forward,1.9392000511288643e-05,614915072,614915072,unknown
16,arg0_17,parameter,forward,1.945599913597107e-05,614915072,614915072,unknown
17,arg0_18,parameter,forward,1.6383999958634378e-05,614915072,614915072,unknown
18,arg0_19,parameter,forward,1.535999961197376e-05,614915072,614915072,unknown
19,arg0_20,parameter,forward,1.542400009930134e-05,614915072,614915072,unknown
20,arg0_21,parameter,forward,2.457600086927414e-05,614915072,614915072,unknown
21,arg0_22,parameter,forward,1.740800030529499e-05,614915072,614915072,unknown
22,arg0_23,parameter,forward,1.8432000651955604e-05,614915072,614915072,unknown
23,arg0_24,parameter,forward,1.6383999958634378e-05,614915072,614915072,unknown
24,arg0_25,parameter,forward,1.740800030529499e-05,614915072,614915072,unknown
25,arg0_26,parameter,forward,1.6383999958634378e-05,614915072,614915072,unknown
26,arg0_27,parameter,forward,2.2495999932289124e-05,614915072,614915072,unknown
27,arg0_28,parameter,forward,1.8432000651955604e-05,614915072,614915072,unknown
28,arg0_29,parameter,forward,1.740800030529499e-05,614915072,614915072,unknown
29,arg0_30,parameter,forward,1.6383999958634378e-05,614915072,614915072,unknown
30,arg0_31,parameter,forward,1.958400011062622e-05,614915072,614915072,unknown
31,arg0_32,parameter,forward,4.095999896526337e-05,614915072,614915072,unknown
32,arg0_33,parameter,forward,2.6623999699950218e-05,614915072,614915072,unknown
33,arg0_34,parameter,forward,2.3552000522613525e-05,614915072,614915072,unknown
34,arg0_35,parameter,forward,2.3552000522613525e-05,614915072,614915072,unknown
35,arg0_36,parameter,forward,2.6623999699950218e-05,614915072,614915072,unknown
36,arg0_37,parameter,forward,2.457600086927414e-05,614915072,614915072,unknown
37,arg0_38,parameter,forward,2.5599999353289605e-05,614915072,614915072,unknown
38,arg0_39,parameter,forward,3.481600061058998e-05,614915072,614915072,unknown
39,arg0_40,parameter,forward,3.2767999917268756e-05,614915072,614915072,unknown
40,arg0_41,parameter,forward,2.8672000393271447e-05,614915072,614915072,unknown
41,arg0_42,parameter,forward,1.945599913597107e-05,614915072,614915072,unknown
42,arg0_43,parameter,forward,1.6383999958634378e-05,614915072,614915072,unknown
43,arg0_44,parameter,forward,1.6383999958634378e-05,614915072,614915072,unknown
44,arg0_45,parameter,forward,1.8432000651955604e-05,614915072,614915072,unknown
45,arg0_46,parameter,forward,1.8432000651955604e-05,614915072,614915072,unknown
46,arg0_47,parameter,forward,1.740800030529499e-05,614915072,614915072,unknown
47,arg0_48,parameter,forward,1.740800030529499e-05,614915072,614915072,unknown
48,arg0_49,parameter,forward,2.2528000175952913e-05,614915072,614915072,unknown
49,arg0_50,parameter,forward,1.740800030529499e-05,614915072,614915072,unknown
50,arg0_51,parameter,forward,1.740800030529499e-05,614915072,614915072,unknown
51,arg0_52,parameter,forward,1.945599913597107e-05,614915072,614915072,unknown
52,arg0_53,parameter,forward,1.8432000651955604e-05,614915072,614915072,unknown
53,arg0_54,parameter,forward,2.0479999482631683e-05,614915072,614915072,unknown
