activation_name,node_type,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes
getitem,activation,318,363,1393,1393,67108864,0.7703136327844123,0.065536,67108864
getitem_1,activation,319,-1,1409,1409,16777216,0.0,0.016384,16777216
getitem_3,activation,322,-1,1393,1393,131072,0.0,0.000128,131072
getitem_4,activation,323,-1,1394,1403,131072,0.0,0.000128,131072
t,activation,325,328,1387,1387,3145728,0.7733021769039349,0.003072,3145728
_unsafe_view,activation,327,328,1385,1385,67108864,0.7702586249522881,0.065536,67108864
transpose_4,activation,344,352,1353,1353,67108864,0.7536344649046671,0.065536,67108864
mul_1,activation,345,347,1357,1357,67108864,0.7583070409726367,0.065536,67108864
transpose_5,activation,346,347,1359,1359,67108864,0.7590821129623816,0.065536,67108864
_softmax,activation,348,349,1356,1356,134217728,0.7554971849154694,0.131072,134217728
getitem_5,activation,350,352,1351,1351,134217728,0.7528633929211658,0.131072,134217728
getitem_6,activation,351,-1,1355,1355,33554432,0.0,0.032768,33554432
view_4,activation,355,357,1344,1344,67108864,0.7500343369338672,0.065536,67108864
t_1,activation,356,357,1341,1341,1048576,0.7487032969538133,0.001024,1048576
getitem_8,activation,362,-1,1337,1337,16777216,0.0,0.016384,16777216
add_2,activation,363,383,1321,1321,67108864,0.7331067530196171,0.065536,67108864
getitem_10,activation,366,-1,1321,1321,131072,0.0,0.000128,131072
getitem_11,activation,367,-1,1322,1331,131072,0.0,0.000128,131072
view_7,activation,368,370,1315,1315,67108864,0.7351061768569063,0.065536,67108864
t_2,activation,369,370,1312,1312,4194304,0.7311033608857552,0.004096,4194304
relu,activation,372,373,1310,1310,268435456,0.7270554889123896,0.262144,268435456
getitem_13,activation,375,-1,1309,1309,67108864,0.0,0.065536,67108864
view_9,activation,376,378,1303,1303,268435456,0.718220448873938,0.262144,268435456
t_3,activation,377,378,1300,1300,4194304,0.7141732169687757,0.004096,4194304
getitem_15,activation,382,-1,1298,1298,16777216,0.0,0.016384,16777216
add_3,activation,383,427,1282,1282,67108864,0.6985728329066193,0.065536,67108864
getitem_17,activation,386,-1,1282,1282,131072,0.0,0.000128,131072
getitem_18,activation,387,-1,1283,1292,131072,0.0,0.000128,131072
t_4,activation,389,392,1276,1276,3145728,0.7023852809071548,0.003072,3145728
_unsafe_view_2,activation,391,392,1274,1274,67108864,0.6995938889496036,0.065536,67108864
transpose_12,activation,408,416,1242,1242,67108864,0.683181024946273,0.065536,67108864
mul_2,activation,409,411,1246,1246,67108864,0.6879087689705198,0.065536,67108864
transpose_13,activation,410,411,1248,1248,67108864,0.6887013449668888,0.065536,67108864
_softmax_1,activation,412,413,1245,1245,134217728,0.6850365770049398,0.131072,134217728
getitem_19,activation,414,416,1240,1240,134217728,0.6825328329689807,0.131072,134217728
getitem_20,activation,415,-1,1244,1244,33554432,0.0,0.032768,33554432
view_15,activation,419,421,1233,1233,67108864,0.6796591689214114,0.065536,67108864
t_5,activation,420,421,1230,1230,1048576,0.678563360974193,0.001024,1048576
getitem_22,activation,426,-1,1226,1226,16777216,0.0,0.016384,16777216
add_5,activation,427,447,1210,1210,67108864,0.6601679690238093,0.065536,67108864
getitem_24,activation,430,-1,1210,1210,131072,0.0,0.000128,131072
getitem_25,activation,431,-1,1211,1220,131072,0.0,0.000128,131072
view_18,activation,432,434,1204,1204,67108864,0.6638699211776261,0.065536,67108864
t_6,activation,433,434,1201,1201,4194304,0.6601292171105747,0.004096,4194304
relu_1,activation,436,437,1199,1199,268435456,0.6559927691183988,0.262144,268435456
getitem_27,activation,439,-1,1198,1198,67108864,0.0,0.065536,67108864
view_20,activation,440,442,1192,1192,268435456,0.646074337139726,0.262144,268435456
t_7,activation,441,442,1189,1189,4194304,0.6422765130810442,0.004096,4194304
getitem_29,activation,446,-1,1187,1187,16777216,0.0,0.016384,16777216
add_6,activation,447,491,1171,1171,67108864,0.6248896011654289,0.065536,67108864
getitem_31,activation,450,-1,1171,1171,131072,0.0,0.000128,131072
getitem_32,activation,451,-1,1172,1181,131072,0.0,0.000128,131072
t_8,activation,453,456,1165,1165,3145728,0.6287953611407431,0.003072,3145728
_unsafe_view_4,activation,455,456,1163,1163,67108864,0.6257737291436645,0.065536,67108864
transpose_20,activation,472,480,1131,1131,67108864,0.6091585610415788,0.065536,67108864
mul_3,activation,473,475,1135,1135,67108864,0.61390390505828,0.065536,67108864
transpose_21,activation,474,475,1137,1137,67108864,0.6146002250555906,0.065536,67108864
_softmax_2,activation,476,477,1134,1134,134217728,0.6110633290652189,0.131072,134217728
getitem_33,activation,478,480,1129,1129,134217728,0.6084898890480401,0.131072,134217728
getitem_34,activation,479,-1,1133,1133,33554432,0.0,0.032768,33554432
view_26,activation,483,485,1122,1122,67108864,0.605469953119755,0.065536,67108864
t_9,activation,484,485,1119,1119,1048576,0.6043230731673541,0.001024,1048576
getitem_36,activation,490,-1,1115,1115,16777216,0.0,0.016384,16777216
add_8,activation,491,511,1099,1099,67108864,0.5858327054921539,0.065536,67108864
getitem_38,activation,494,-1,1099,1099,131072,0.0,0.000128,131072
